"","x"
"lib1_AR_T28_1_D7.S330","T28_SMC"
"lib1_AR_T28_1_D8.S331","T28_NCSC"
"lib1_AR_T28_1_D9.S332","T28_other"
"lib1_AR_T28_1_E10.S345","T28_other"
"lib1_AR_T28_1_E11.S346","T28_SMC"
"lib1_AR_T28_1_E1.S336","T28_SMC"
"lib1_AR_T28_1_E2.S337","T28_SMC"
"lib1_AR_T28_1_E4.S339","T28_pigmentation"
"lib1_AR_T28_1_E5.S340","T28_SMC"
"lib1_AR_T28_1_E7.S342","T28_SMC"
"lib1_AR_T28_1_E8.S343","T28_other"
"lib1_AR_T28_1_E9.S344","T28_NCSC"
"lib1_AR_T28_1_F10.S357","T28_other"
"lib1_AR_T28_1_F11.S358","T28_other"
"lib1_AR_T28_1_F12.S359","T28_SMC"
"lib1_AR_T28_1_F1.S348","T28_SMC"
"lib1_AR_T28_1_F2.S349","T28_other"
"lib1_AR_T28_1_F3.S350","T28_SMC"
"lib1_AR_T28_1_F4.S351","T28_SMC"
"lib1_AR_T28_1_F5.S352","T28_SMC"
"lib1_AR_T28_1_F6.S353","T28_other"
"lib1_AR_T28_1_F7.S354","T28_invasion"
"lib1_AR_T28_1_F8.S355","T28_other"
"lib1_AR_T28_1_F9.S356","T28_SMC"
"lib1_AR_T28_1_G10.S369","T28_NCSC"
"lib1_AR_T28_1_G11.S370","T28_SMC"
"lib1_AR_T28_1_G12.S371","T28_other"
"lib1_AR_T28_1_G1.S360","T28_other"
"lib1_AR_T28_1_G2.S361","T28_other"
"lib1_AR_T28_1_G3.S362","T28_SMC"
"lib1_AR_T28_1_G4.S363","T28_NCSC"
"lib1_AR_T28_1_G5.S364","T28_pigmentation"
"lib1_AR_T28_1_G6.S365","T28_other"
"lib1_AR_T28_1_G7.S366","T28_SMC"
"lib1_AR_T28_1_G8.S367","T28_other"
"lib1_AR_T28_1_G9.S368","T28_other"
"lib1_AR_T28_1_H2.S373","T28_SMC"
"lib1_AR_T28_1_H5.S376","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_C1.S216","T28_invasion"
"lib2_AR_lib2_AR_T28_228_2_C2.S217","T28_other"
"lib2_AR_lib2_AR_T28_228_2_C4.S219","T28_other"
"lib2_AR_lib2_AR_T28_228_2_C6.S221","T28_other"
"lib2_AR_lib2_AR_T28_228_2_C8.S223","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_C9.S224","T28_other"
"lib2_AR_lib2_AR_T28_228_2_D10.S237","T28_other"
"lib2_AR_lib2_AR_T28_228_2_D3.S230","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_D6.S233","T28_other"
"lib2_AR_lib2_AR_T28_228_2_D9.S236","T28_NCSC"
"lib2_AR_lib2_AR_T28_228_2_E11.S250","T28_other"
"lib2_AR_lib2_AR_T28_228_2_E2.S241","T28_NCSC"
"lib2_AR_lib2_AR_T28_228_2_E3.S242","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_E7.S246","T28_SMC"
"lib2_AR_lib2_AR_T28_228_2_E8.S247","T28_SMC"
